Product_Name,Key_Ingredient,Product_Category
skin correct face serum niacinamide ginger extract acne mark scar,['niacinamide'],['face serum']
tea tree foaming face wash tea tree salicylic acid acne pimple,['tea tree'],['face wash']
skin illuminate face serum radiant skin vitamin c turmeric,['vitamin c'],['face serum']
ubtan body wash turmeric saffron glowing skin,['turmeric'],['body wash']
retinol night cream woman retinol bakuchi anti aging fine line wrinkle,['retinol'],['face cream']
rose water bamboo sheet mask rose water milk glowing skin,['rose water'],['face sheet mask']
spotless skin combo ubtan facewash bye bye blemish face cream,['vitamin c'],['face combo']
vitamin c sleeping mask aloe vera skin illumination,['vitamin c'],['face mask']
tea tree conditioner tea tree ginger oil dandruff hair,['tea tree'],['hair conditioner']
bhringamla shampoo bhringraj amla intense hair treatment,['bhringraj'],['hair shampoo']
tea tree foaming face wash tea tree salicylic acid acne pimple,['tea tree'],['face wash']
onion hair oil hair regrowth hair fall control redensyl,['onion'],['hair oil']
ubtan foaming face wash turmeric saffron tan removal,['turmeric'],['face wash']
onion hair oil onion hair mask combo,['onion'],['hair combo']
bhringamla shampoo conditioner combo,['bhringraj'],['hair combo']
vitamin c face wash vitamin c turmeric skin illumination,['vitamin c'],['face wash']
hydrating natural body lotion cucumber aloe vera normal skin,['aloe vera'],['body lotion']
argan hair mask argan avocado oil milk protein frizz stronger hair,['argan'],['hair mask']
ubtan face scrub turmeric walnut tan removal,['turmeric'],['face scrub']
skin lightening brightening combo ubtan facemask ubtan facewash,['turmeric'],['face combo']
coco face mask coffee cocoa skin awakening,['coffee'],['face mask']
onion shampoo hair growth hair fall control onion oil plant keratin,['onion'],['hair shampoo']
coco bamboo sheet mask coffee cocoa skin awakening,['coffee'],['face sheet mask']
ubtan bamboo sheet mask turmeric saffron skin brightening,['saffron'],['face sheet mask']
vitamin c overnight skin glow kit,['vitamin c'],['face combo']
damage repair kit,['rice'],['hair combo']
vitamin c body wash vitamin c honey skin illumination,['vitamin c'],['body wash']
wedding glow skin rejuvenation kit,['cucumber'],['face combo']
vitamin c foaming face wash vitamin c turmeric skin illumination,['vitamin c'],['face wash']
tea tree spot gel face cream tea tree salicylic acid acne pimple,['tea tree'],['face gel']
onion scalp serum onion niacinamide healthy hair growth,['onion'],['hair serum']
tea tree hair oil tea tree ginger oil dandruff hair,['tea tree'],['hair oil']
rose face toner witch hazel rose water pore tightening,['rose water'],['face toner']
onion conditioner hair growth hair fall control onion coconut,['onion'],['hair conditioner']
tea tree foaming face wash tea tree salicylic acid acne pimple,['tea tree'],['face wash']
onion shampoo hair growth hair fall control onion oil plant keratin,['onion'],['hair shampoo']
coco face scrub coffee cocoa rich exfoliation,['coffee'],['face wash']
charcoal facewash oil control,['charcoal'],['face wash']
coco body butter dry skin coffee cocoa deep moisturization,['coffee'],['body cream']
tea tree body wash tea tree neem skin purification,['tea tree'],['body wash']
niacin face toner niacinamide witch hazel acne open pore,['niacinamide'],['face toner']
bye bye blemish face cream reducing pigmentation blemish mulberry extract vitamin c,['vitamin c'],['face cream']
argan shampoo conditioner combo,['argan'],['hair combo']
vitamin c face cream vitamin c skin illumination,['vitamin c'],['face cream']
vitamin c face milk vitamin c peach skin illumination,['vitamin c'],['face cream']
vitamin c foaming face wash vitamin c turmeric skin illumination,['vitamin c'],['face wash']
pro growth hair tonic better hair growth,['onion'],['hair oil']
wedding glow skincare kit,['cucumber'],['face combo']
charcoal facewash oil control,['charcoal'],['face wash']
